iso,co2_1850_2015,fair_share_350,overshoot_350,pct_overshoot_350,fair_share_15C,overshoot_15C,pct_overshoot_15C,fair_share_2C,overshoot_2C,pct_overshoot_2C
BMU,55971727.800000004,17047808.716650467,38923919.08334954,3.2832212473930937,41280098.23608528,14691629.563914724,1.355901032015276,56683294.55534141,,0.9874466231907766
BOL,407766170.0,1063718394.7011547,,0.38334033897623765,2575721053.5749173,,0.1583114636711338,3536821892.651267,,0.11529168908596948
BRA,14785133000.0,18463083213.878437,,0.800794365097495,44707088252.669395,,0.3307111596362396,61389026684.10957,,0.24084325487159258
BRB,87305392.1,58374338.22290498,28931053.877095014,1.495612537252594,141349451.7893347,,0.6176563898536993,194092382.36761302,,0.449813594098931
BRN,177251879.2,36282119.84173797,140969759.358262,4.885378251688983,87854661.92012943,89397217.27987055,2.017558036489213,120636623.75990732,56615255.44009267,1.4693040444564258
BTN,35534181.1,73730439.57155915,,0.4819472297532184,178533196.79326588,,0.19903402693868258,245150816.353753,,0.14494824707711404
BWA,267570111.1,161161295.41815108,106408815.68184891,1.6602628466454015,390241010.8707017,,0.6856534901419007,535854978.83873004,,0.4993330689580612
CAF,25133894.900000002,434083753.93083125,,0.05790102640884585,1051104004.2027225,,0.023911901010275783,1443311436.3676453,,0.017414048185784493
CAN,30219626600.0,4036802962.12215,26182823637.87785,7.48602963373608,9774841189.610882,20444785410.38912,3.0915721303092583,13422211333.258244,16797415266.741756,2.251464073220205
CHE,4542521480.0,1317580519.1959271,3224940960.804073,3.4476234384310267,3190430756.841961,1352090723.158039,1.423795664663289,4380903488.025316,161617991.97468376,1.0368914751070064
CHL,2608129970.0,1905807871.1396465,702322098.8603535,1.3685167374402618,4614782899.51194,,0.5651685088535445,6336736334.927733,,0.4115888419759766
CHN,159637334500.0,187674348004.15372,,0.8506081742000607,454440547214.6149,,0.3512832107048084,624009837581.7087,,0.25582502852624794
CIV,295405471.0,1527303301.961465,,0.19341637683924376,3698260074.8968353,,0.079876878590871,5078223505.398232,,0.058171025888478375
CMR,248738034.4,1660643828.3207784,,0.14978409587775404,4021135003.7777405,,0.06185766808782043,5521575519.57277,,0.04504838039763803
COD,281796467.0,5337311581.408937,,0.05279745480506718,12923933513.048344,,0.02180423372771849,17746351424.459198,,0.015879121305555206
COG,61392207.1,360601020.6689927,,0.17024967645988415,873170611.2299312,,0.07030952062567031,1198984233.766867,,0.05120351491789277
COL,3368033980.0,4272554879.511155,,0.7882950775310706,10345698269.89115,,0.32554921786206664,14206077201.151035,,0.2370840262452683
COM,319033.1,35196069.87341119,,0.009064452399016657,85224866.49439594,,0.0037434273953480274,117025550.26185943,,0.002726183293187882
CPV,17571230.4,57801432.73763158,,0.30399299061942214,139962200.4947458,,0.12554268465262966,192187494.12573558,,0.09142754308719121
CRI,335210349.0,370478442.30243474,,0.9048039257473337,897088109.4917157,,0.373664911454381,1231826272.8348475,,0.27212469517196447
CUB,1832469500.0,1512946494.1478143,319523005.8521857,1.2111925352866897,3663496050.572393,,0.5001969361243588,5030487683.176063,,0.36427273366129126
